programa,-1,-1,1
prueba1@,-54,-2,1
var,-15,-1,2
res&,-51,-2,2
,,-76,-1,2
f&,-51,-2,2
,,-76,-1,2
p&,-76,-2,2
;,-75,-1,2
proc,-14,-1,3
fact@,-54,-2,3
var,-15,-1,4
i&,-51,-2,4
,,-76,-1,4
n&,-51,-2,4
;,-75,-1,4
inicio,-2,-1,5
i&,-51,-2,5
=,-26,-1,5
1,-61,-1,5
;,-75,-1,5
f&,-51,-2,6
=,-26,-1,6
1,-61,-1,6
;,-75,-1,6
leer,-4,-1,7
(,-73,-1,7
n&,-51,-2,7
),-74,-1,7
;,-75,-1,7
mientras,-8,-1,8
(,-73,-1,8
<=,-32,-1,8
n&,-51,-2,8
),-74,-1,8
inicio,-2,-1,9
f&,-51,-2,-10
=,-26,-1,10
f&,-51,-2,10
*,-21,-1,10
i&,-51,-2,10
;,-75,-1,10
i&,-51,-2,11
=,-26,-1,11
i&,-26,-2,11
+,-24,-1,11
1,-61,-1,11
;,-75,-1,11
fin,-3,-1,12
proc,-14,-1,13
pot@,-54,-2,13
var,-15,-1,14
i&,-51,-2,14
,,-76,-1,14
n&,-51,-2,14
,,-76,-1,14
x&,-51,-2,14
;,-75,-1,14
inicio,-2,-1,15
i&,-51,-2,15
=,-26,-1,15
1,-61,-1,15
;,-75,-1,15
p&,-51,-2,16
=,-26,-1,16
1,-61,-1,16
;,-75,-1,16
leer,-4,-1,17
(,-73,-1,17
x&,-51,-2,17
,,-76,-1,17
n&,-51,-2,17
),-74,-1,17
mientras,-8,-1,18
(,-73,-1,18
i&,-51,-2,18
<=,-32,-1,18
),-75,-1,18
inicio,-2,-1,19
p&,-51,-2,19
=,-26,-1,19
p&,-51,-2,19
*,-21,-1,19
x&,-51,-2,19
;,-75,-1,19
i&,-51,-2,20
=,-26,-1,20
i&,-51,-2,20
+,-24,-1,20
1,-61,-1,20
;,-75,-1,20
fin,-3,-1,21
fin,-3,-1,21
inicio,-2,-1,22
ejecuta,-12,-1,22
fact@,-54,-2,22
;,-75,-1,22
ejecuta,-12,-1,23
pot@,-54,-2,23
;,-75,-1,23
res&,-51,-2,24
=,-26,-1,24
f&,-51,-2,24
/,-22,-1,24
p&,-51,-2,24
;,-75,--1,24
escribir,-5,-1,25
(,-73,-1,25
res&,-51,-2,25
),-74,-1,25
;,-75,-1,25
fin,-3,-1,26
